id,type,dc\.identifier,inScheme,notation,prefLabel,topConceptOf,definition,hasTopConcept,note
https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/cmon,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.leesgroep.cmon,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,cmon,Koolstof monitoring,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/cte,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.leesgroep.cte,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,cte,Conventionele en toxische explosieven,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/dovpartners,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.leesgroep.dovpartners,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,dovpartners,dov partners,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/thkpfas,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.leesgroep.thkpfas,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,thkpfas,Tijdelijk Handelingskader PFAS,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/leesgroep,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.leesgroep,null,null,Conceptschema leesgroep.,null,Indicatie van leesgroep.,https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/cmon|https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/cte|https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/dovpartners|https://data.bodemenondergrond.vlaanderen.be/id/concept/leesgroep/thkpfas,Indicatie van leesgroep.
